crash_date,crash_time,borough,on_street,cross_street,contributing_factor,vehicle_type,persons_injured,persons_killed,lat,lon
2022-07-26,10:12:00,BROOKLYN,18 STREET,6 AVENUE,Passing Too Closely,PK,0,0,40.661697,-73.98948
2022-11-02,09:22:00,BROOKLYN,PROSPECT PARK WEST,11 STREET,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1,0,40.6634,-73.97785
2022-04-16,20:11:00,BROOKLYN,17 STREET,5 AVENUE,Traffic Control Disregarded,Sedan,1,0,40.66359,-73.9911
2022-12-18,10:33:00,BROOKLYN,6 AVENUE,15 STREET,Traffic Control Disregarded,Sedan,2,0,40.664425,-73.98696
2022-10-31,19:30:00,BROOKLYN,Unknown,Unknown,Passing or Lane Usage Improper,Ambulance,0,0,40.665653,-73.977234
2022-01-20,15:00:00,BROOKLYN,Unknown,Unknown,Unsafe Lane Changing,Sedan,0,0,40.66573,-73.97592
2022-09-03,16:12:00,BROOKLYN,9 STREET,8 AVENUE,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1,0,40.66575,-73.97923
2022-02-21,16:19:00,BROOKLYN,Unknown,Unknown,Unspecified,Station Wagon/Sport Utility Vehicle,1,0,40.66598,-73.992386
2022-10-07,11:45:00,BROOKLYN,4 AVENUE,16 STREET,Passenger Distraction,Pick-up Truck,0,0,40.666134,-73.99224
2022-04-03,01:50:00,BROOKLYN,4 AVENUE,16 STREET,Brakes Defective,Sedan,2,0,40.666134,-73.99224
2022-12-16,21:54:00,BROOKLYN,Unknown,Unknown,Passing Too Closely,Sedan,0,0,40.666584,-73.98846
2022-11-30,17:50:00,BROOKLYN,4 AVENUE,15 STREET,Driver Inattention/Distraction,Sedan,1,0,40.666737,-73.991745
2022-04-13,07:55:00,BROOKLYN,5 AVENUE,13 STREET,Following Too Closely,Unknown,2,0,40.66677,-73.98831
2022-09-17,15:28:00,BROOKLYN,Unknown,Unknown,Passing Too Closely,Station Wagon/Sport Utility Vehicle,0,0,40.666782,-73.97611
2022-12-06,13:00:00,BROOKLYN,Unknown,Unknown,Driver Inattention/Distraction,Sedan,0,0,40.666904,-73.976326
2022-09-20,14:30:00,BROOKLYN,Unknown,Unknown,Following Too Closely,Station Wagon/Sport Utility Vehicle,1,0,40.66712,-73.988014
2022-08-28,03:09:00,BROOKLYN,5 AVENUE,12 STREET,Driver Inattention/Distraction,Taxi,0,0,40.667374,-73.987816
2022-10-22,14:35:00,BROOKLYN,Unknown,Unknown,Other Vehicular,Sedan,0,0,40.667625,-73.99424
2022-02-09,13:17:00,BROOKLYN,Unknown,Unknown,Failure to Yield Right-of-Way,Sedan,0,0,40.668247,-73.98785
2022-01-22,04:10:00,BROOKLYN,Unknown,Unknown,Driver Inattention/Distraction,Sedan,0,0,40.668526,-73.973595
2022-05-27,11:35:00,BROOKLYN,Unknown,Unknown,Passing Too Closely,Sedan,0,0,40.669033,-73.987724
2022-11-22,19:03:00,BROOKLYN,7 AVENUE,5 STREET,View Obstructed/Limited,Station Wagon/Sport Utility Vehicle,1,0,40.66931,-73.97957
2022-03-15,12:20:00,BROOKLYN,Unknown,Unknown,Failure to Yield Right-of-Way,Sedan,0,0,40.669342,-73.989555
2022-02-24,14:30:00,BROOKLYN,Unknown,Unknown,Unspecified,Sedan,0,0,40.669678,-73.97686
2022-05-27,06:12:00,BROOKLYN,8 AVENUE,2 STREET,Traffic Control Disregarded,Station Wagon/Sport Utility Vehicle,1,0,40.66997,-73.9757
2022-09-10,23:45:00,BROOKLYN,PROSPECT PARK WEST,GARFIELD PLACE,Driver Inattention/Distraction,Sedan,0,0,40.67003,-73.97233
2022-07-04,16:14:00,BROOKLYN,4 AVENUE,8 STREET,Passing or Lane Usage Improper,Station Wagon/Sport Utility Vehicle,1,0,40.67096,-73.98822
2022-03-29,00:11:00,BROOKLYN,Unknown,Unknown,Alcohol Involvement,Station Wagon/Sport Utility Vehicle,4,0,40.671383,-73.97454
2022-01-11,15:25:00,BROOKLYN,12 STREET,HAMILTON PLACE,Passing or Lane Usage Improper,Station Wagon/Sport Utility Vehicle,0,0,40.67149,-73.99637
2022-05-17,19:27:00,BROOKLYN,5 AVENUE,5 STREET,Passing or Lane Usage Improper,Bike,1,0,40.671593,-73.9843
2022-02-09,15:40:00,BROOKLYN,Unknown,Unknown,Passing Too Closely,Sedan,0,0,40.67187,-73.97616
2022-10-11,19:55:00,BROOKLYN,Unknown,Unknown,Passing Too Closely,Sedan,0,0,40.672207,-73.976814
2022-03-28,03:24:00,BROOKLYN,Unknown,Unknown,Outside Car Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.672432,-73.97367
2022-07-02,12:49:00,BROOKLYN,8 AVENUE,PRESIDENT STREET,Driver Inattention/Distraction,Dump,0,0,40.67285,-73.97339
2022-11-30,20:00:00,BROOKLYN,Unknown,Unknown,Other Vehicular,Ambulance,0,0,40.67318,-73.97218
2022-02-08,17:50:00,BROOKLYN,8 AVENUE,UNION STREET,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.673485,-73.97296
2022-08-24,11:40:00,BROOKLYN,2 AVENUE,7 STREET,Passing or Lane Usage Improper,Sedan,0,0,40.673813,-73.99238
2022-05-23,11:49:00,BROOKLYN,Unknown,Unknown,Driver Inattention/Distraction,Sedan,0,0,40.675083,-73.978195
2022-01-12,22:35:00,BROOKLYN,4 AVENUE,1 STREET,Reaction to Uninvolved Vehicle,Station Wagon/Sport Utility Vehicle,1,0,40.675175,-73.98471
2022-05-12,13:45:00,BROOKLYN,Unknown,Unknown,View Obstructed/Limited,Station Wagon/Sport Utility Vehicle,1,0,40.67531,-73.984604
2022-03-30,10:57:00,BROOKLYN,Unknown,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.6758,-73.98742
2022-03-01,05:50:00,BROOKLYN,ROGERS AVENUE,EASTERN PARKWAY,Passing or Lane Usage Improper,Station Wagon/Sport Utility Vehicle,0,0,40.670006,-73.95328
2022-01-06,16:00:00,BROOKLYN,ROGERS AVENUE,LINCOLN PLACE,Unspecified,Sedan,0,0,40.6709,-73.95319
2022-04-29,17:43:00,BROOKLYN,BEDFORD AVENUE,STERLING PLACE,Failure to Yield Right-of-Way,Taxi,1,0,40.672752,-73.95432
2022-10-08,12:00:00,BROOKLYN,NEW YORK AVENUE,SAINT MARKS AVENUE,Following Too Closely,Bike,1,0,40.675053,-73.947235
2022-09-23,23:30:00,BROOKLYN,NOSTRAND AVENUE,BERGEN STREET,Other Vehicular,Sedan,0,0,40.676094,-73.94992
2022-08-05,22:51:00,BROOKLYN,BERGEN STREET,FRANKLIN AVENUE,Driver Inattention/Distraction,Unknown,1,0,40.676807,-73.95576
